Category,Question,Answer,Rounds,Points,DailyDouble
"ACTORS WHO DIRECT","""Rocky II"", ""III"" & ""IV""",Sylvester Stallone,1,1,0
"ACTORS WHO DIRECT","""Million Dollar Baby"" & ""Unforgiven""",Clint Eastwood,1,2,0
"ACTORS WHO DIRECT","""The Pledge"" & ""Into the Wild""",Sean Penn,1,3,0
"ACTORS WHO DIRECT","""The Great Debaters""",Denzel Washington,1,4,0
"ACTORS WHO DIRECT","""A Bronx Tale""",Robert De Niro,1,5,0
"ALSO ON YOUR COMPUTER KEYS","Proverbially, it's ""where the heart is""",home,1,1,0
"ALSO ON YOUR COMPUTER KEYS","A loose-fitting dress hanging straight from the shoulders to below the waist",a shift,1,2,0
"ALSO ON YOUR COMPUTER KEYS","Football position that can be split or tight",End,1,3,0
"ALSO ON YOUR COMPUTER KEYS","It's an abbreviation for Grand Prix auto racing",F1,1,4,0
"ALSO ON YOUR COMPUTER KEYS","An additional section placed within the folds of a newspaper",an insert,1,5,0
"BREAKING NEWS","Before this hotel mogul's elbow broke through it, a Picasso he owned was worth $139 million; after, $85 million",Steve Wynn,1,1,0
"BREAKING NEWS","It was 103 degrees in July 2010 & Con Ed's command center in this N.Y. borough showed 12,963 megawatts consumed at 1 time",Manhattan,1,2,0
"BREAKING NEWS","Senator Obama attended the 2006 groundbreaking for this man's memorial, 1/2 mile from Lincoln's",Martin Luther King,1,3,1
"BREAKING NEWS","Gambler Charles Wells is believed to have inspired the song ""The Man Who"" did this ""At Monte Carlo""","Broke The Bank",1,4,0
"BREAKING NEWS","Nearly 10 million YouTubers saw Dave Carroll's clip called this ""friendly skies"" airline ""Breaks Guitars""",United Airlines,1,5,0
"DIALING FOR DIALECTS","Sprechen Sie Plattdeutsch? If you do, you speak the Low variety of this language",German,1,1,0
"DIALING FOR DIALECTS","Dialects of this language include Wu, Yue & Hakka",Chinese,1,2,0
"DIALING FOR DIALECTS","Vedic, dating back at least 4,000 years, is the earliest dialect of this classical language of India",Sanskrit,1,3,0
"DIALING FOR DIALECTS","While Maltese borrows many words from Italian, it developed from a dialect of this Semitic language",Arabic,1,4,0
"DIALING FOR DIALECTS","Aeolic, spoken in ancient times, was a dialect of this",Ancient Greek,1,5,0
"EU, THE EUROPEAN UNION","Each year the EU selects capitals of culture; one of the 2010 cities was this Turkish ""meeting place of cultures""",Istanbul,1,1,0
"EU, THE EUROPEAN UNION","The Schengen Agreement removes any controls at these between most EU neighbors",national borders,1,2,0
"EU, THE EUROPEAN UNION","A controversial EU subsidy program is called CAP, short for ""common"" this ""policy""",agricultural,1,3,0
"EU, THE EUROPEAN UNION","Elected every 5 years, it has 736 members from 7 parties",Parliament,1,4,0
"EU, THE EUROPEAN UNION","As of 2010, Croatia & Macedonia are candidates but this is the only former Yugoslav republic in the EU",Slovenia,1,5,0
"ONE BUCK OR LESS","On December 8, 2008 this national newspaper raised its newsstand price by 25 cents to $1",USA Today,1,1,0
"ONE BUCK OR LESS","The USPS cost for mailing this, a minimum of 3 1/2 x 5 inches, is 28 cents; wish you were here!",a postcard,1,2,0
"ONE BUCK OR LESS","In 2002 Eminem signed this rapper to a 7-figure deal, obviously worth a lot more than his name implies",50 Cent,1,3,0
"ONE BUCK OR LESS","99 cents got me a 4-pack of Ytterlig coasters from this Swedish chain",IKEA,1,4,0
"ONE BUCK OR LESS","A 15-ounce V05 Moisture Milks conditioner from this manufacturer averages a buck online",Alberto,1,5,0
"FAMILIAR SAYINGS","Familiarity is said to breed this, from the Latin for ""despise""",contempt,2,1,0
"FAMILIAR SAYINGS","Even a broken one of these on your wall is right twice a day",clock,2,2,0
"FAMILIAR SAYINGS","If you're one of these capable fellows, you're unfortunately ""master of none""",a jack of all trades,2,3,0
"FAMILIAR SAYINGS","A camel is a horse designed by this",a committee,2,4,0
"FAMILIAR SAYINGS","It's a poor workman who blames these",tools,2,5,0
"LEGAL ""E""s","In English law, it's a title above a gentleman & below a knight; in the U.S., it's usually added to the name of an attorney",esquire,2,1,0
"LEGAL ""E""s","One definition of this is entering a private place with the intent of listening secretly to private conversations",eavesdropping,2,2,0
"LEGAL ""E""s","This person is appointed by a testator to carry out the directions & requests in his will",executor,2,3,0
"LEGAL ""E""s","This 2-word phrase means the power to take private property for public use; it's ok, as long as there is just compensation",eminent domain,2,4,1
"LEGAL ""E""s","This clause in a union contract says that wages will rise or fall depending on a standard such as cost of living",escalator,2,5,0
"MAGICAL MOUSE-TERY TOUR","Itchy (the mouse) & Scratchy (the cat) starred in ""Skinless in Seattle"" on a show within this Fox show",The Simpsons,2,1,0
"MAGICAL MOUSE-TERY TOUR","In 1939's cartoon ""The Pointer"", this guy got a new, more pear-shaped body & pupils were added to his eyes",Mickey (Mouse),2,2,0
"MAGICAL MOUSE-TERY TOUR","This 1959 Daniel Keyes novella about Charlie Gordon & a smarter-than-average lab mouse won a Hugo award",Flowers for Algernon,2,3,0
"MAGICAL MOUSE-TERY TOUR","The samplefest ""The Grey Album"" & the band Gnarls Barkley are 2 projects of Brian Burton, aka this",Danger Mouse,2,4,0
"MAGICAL MOUSE-TERY TOUR","Maurice LaMarche found his inner Orson Welles to voice this rodent whose simple goal was to take over the world",the Brain,2,5,0
